dataid,local_15min,air1,clotheswasher1,furnace1,dishwasher1,drye1,refrigerator1,range1,oven1
661,2018-01-17 04:15:00-06,0.0,0.0,0.204,0.001,0.0,0.079,,
661,2018-01-17 04:30:00-06,0.0,-0.001,0.451,0.0,0.0,0.121,,
661,2018-01-17 04:45:00-06,0.0,0.0,0.204,0.001,0.0,0.002,,
661,2018-01-17 05:00:00-06,0.0,-0.001,0.474,0.0,0.0,0.001,,
661,2018-01-17 05:15:00-06,0.0,-0.001,0.286,0.0,0.0,0.001,,
661,2018-01-17 05:30:00-06,0.0,0.0,0.218,0.001,0.0,0.109,,
661,2018-01-17 05:45:00-06,0.0,-0.001,0.472,0.0,0.0,0.088,,
661,2018-01-17 06:00:00-06,0.0,-0.001,0.315,0.0,0.0,0.001,,
661,2018-01-17 06:15:00-06,0.0,0.0,0.218,0.001,0.0,0.002,,
661,2018-01-17 06:30:00-06,0.0,-0.001,0.471,0.0,0.0,0.012,,
661,2018-01-17 06:45:00-06,0.0,-0.001,0.469,0.0,0.0,0.142,,
661,2018-01-17 07:00:00-06,0.0,-0.001,0.469,0.0,0.0,0.047,,
661,2018-01-17 07:15:00-06,0.0,-0.001,0.468,0.0,0.0,0.001,,
661,2018-01-17 07:30:00-06,0.0,0.0,0.062,0.001,0.001,0.002,,
661,2018-01-17 07:45:00-06,0.0,-0.001,0.388,0.0,0.001,0.081,,
661,2018-01-17 08:00:00-06,0.0,-0.001,0.471,0.0,0.001,0.113,,
661,2018-01-17 08:15:00-06,0.0,0.0,0.229,0.001,0.0,0.002,,
661,2018-01-17 08:30:00-06,-0.001,0.0,0.01,0.001,0.002,0.05,,
661,2018-01-17 08:45:00-06,-0.001,-0.001,0.322,0.0,0.002,0.131,,
661,2018-01-17 09:00:00-06,0.0,-0.001,0.409,0.0,0.0,0.154,,
661,2018-01-17 09:15:00-06,0.0,0.0,0.056,0.001,0.0,0.002,,
661,2018-01-17 09:30:00-06,0.0,-0.001,0.438,0.0,0.0,0.001,,
661,2018-01-17 09:45:00-06,0.0,0.0,0.144,0.001,0.0,0.075,,
661,2018-01-17 10:00:00-06,0.0,-0.001,0.433,0.0,0.0,0.139,,
661,2018-01-17 10:15:00-06,0.0,0.0,0.071,0.001,0.0,0.011,,
661,2018-01-17 10:30:00-06,0.0,-0.001,0.414,0.0,0.0,0.001,,
661,2018-01-17 10:45:00-06,0.0,0.0,0.144,0.001,0.0,0.034,,
661,2018-01-17 11:00:00-06,0.0,-0.001,0.354,0.0,0.0,0.18,,
661,2018-01-17 11:15:00-06,0.0,0.0,0.184,0.001,0.0,0.053,,
661,2018-01-17 11:30:00-06,0.0,0.0,0.181,0.001,0.0,0.002,,
661,2018-01-17 11:45:00-06,0.0,-0.001,0.352,0.0,0.0,0.012,,
661,2018-01-17 12:00:00-06,0.0,0.0,0.097,0.001,0.0,0.142,,
661,2018-01-17 12:15:00-06,0.0,0.0,0.25,0.0,0.0,0.063,,
661,2018-01-17 12:30:00-06,0.0,-0.001,0.278,0.0,0.0,0.002,,
661,2018-01-17 12:45:00-06,0.0,0.0,0.219,0.001,0.0,0.001,,
661,2018-01-17 13:00:00-06,0.0,-0.001,0.379,0.0,0.0,0.113,,
661,2018-01-17 13:15:00-06,0.0,0.0,0.07,0.001,0.0,0.136,,
661,2018-01-17 13:30:00-06,0.0,-0.001,0.353,0.0,0.0,0.001,,
661,2018-01-17 13:45:00-06,0.0,0.0,0.144,0.001,0.0,0.002,,
661,2018-01-17 14:00:00-06,0.0,-0.001,0.32,0.0,0.0,0.119,,
661,2018-01-17 14:15:00-06,0.0,0.0,0.145,0.001,0.0,0.084,,
661,2018-01-17 14:30:00-06,0.0,0.0,0.194,0.001,0.0,0.002,,
661,2018-01-17 14:45:00-06,0.0,-0.001,0.326,0.0,0.0,0.001,,
661,2018-01-17 15:00:00-06,0.0,0.0,0.06,0.001,0.0,0.109,,
661,2018-01-17 15:15:00-06,0.0,-0.001,0.289,0.0,0.0,0.085,,
661,2018-01-17 15:30:00-06,0.0,0.0,0.184,0.001,0.0,0.002,,
661,2018-01-17 15:45:00-06,0.0,-0.001,0.285,0.0,0.0,0.001,,
661,2018-01-17 16:00:00-06,0.0,0.0,0.254,0.001,0.0,0.08,,
661,2018-01-17 16:15:00-06,0.0,0.0,0.085,0.001,0.0,0.106,,
661,2018-01-17 16:30:00-06,0.0,-0.001,0.327,0.0,0.0,0.001,,
661,2018-01-17 16:45:00-06,0.0,0.0,0.19,0.001,0.0,0.002,,
661,2018-01-17 17:00:00-06,0.0,-0.001,0.271,0.0,0.0,0.052,,
661,2018-01-17 17:15:00-06,0.0,0.0,0.251,0.001,0.0,0.128,,
661,2018-01-17 17:30:00-06,0.0,0.0,0.093,0.001,0.0,0.002,,
661,2018-01-17 17:45:00-06,0.0,-0.001,0.379,0.0,0.0,0.001,,
1642,2018-01-16 18:00:00-06,0.002,0.002,0.167,0.0,0.0,0.145,,0.008
1642,2018-01-16 18:15:00-06,0.002,0.002,0.278,0.0,-0.001,0.132,,0.008
1642,2018-01-16 18:30:00-06,0.002,0.002,0.053,0.0,0.001,0.128,,0.01
1642,2018-01-16 18:45:00-06,0.003,0.004,0.254,0.0,0.001,0.141,,0.008
1642,2018-01-16 19:00:00-06,0.003,0.001,0.176,0.0,0.001,0.141,,0.008
1642,2018-01-16 19:15:00-06,0.002,0.001,0.008,0.0,0.001,0.142,,0.008
1642,2018-01-16 19:30:00-06,0.003,0.001,0.241,0.0,0.0,0.14,,0.008
1642,2018-01-16 19:45:00-06,0.002,0.001,0.296,0.0,0.0,0.127,,0.008
1642,2018-01-16 20:00:00-06,0.002,0.001,0.085,0.0,0.001,0.137,,0.008
1642,2018-01-16 20:15:00-06,0.002,0.001,0.121,0.0,0.0,0.14,,0.008
1642,2018-01-16 20:30:00-06,0.003,0.001,0.197,0.0,0.0,0.337,,0.008
1642,2018-01-16 20:45:00-06,0.003,0.0,0.126,0.555,-0.002,0.161,,0.008
1642,2018-01-16 21:00:00-06,0.003,-0.001,0.132,0.744,-0.002,0.146,,0.008
1642,2018-01-16 21:15:00-06,0.003,0.003,0.235,0.207,-0.001,0.152,,0.008
1642,2018-01-16 21:30:00-06,0.003,0.287,0.216,0.579,-0.002,0.149,,0.008
1642,2018-01-16 21:45:00-06,0.004,0.283,0.223,1.116,-0.004,0.148,,0.008
1642,2018-01-16 22:00:00-06,0.003,0.212,0.169,0.597,-0.002,0.139,,0.008
1642,2018-01-16 22:15:00-06,0.002,0.0,0.219,0.024,0.0,0.134,,0.008
1642,2018-01-16 22:30:00-06,0.001,0.001,0.24,0.0,-0.001,0.143,,0.008
1642,2018-01-16 22:45:00-06,0.001,0.001,0.181,0.0,0.0,0.144,,0.008
1642,2018-01-16 23:00:00-06,0.001,0.0,0.124,0.0,0.0,0.144,,0.008
1642,2018-01-16 23:15:00-06,0.001,0.0,0.163,0.0,-0.001,0.141,,0.008
1642,2018-01-16 23:30:00-06,0.001,0.0,0.214,0.0,-0.001,0.129,,0.008
1642,2018-01-16 23:45:00-06,0.001,0.0,0.241,0.001,-0.001,0.129,,0.008
1642,2018-01-17 00:00:00-06,0.001,0.0,0.167,0.0,-0.001,0.139,,0.008
1642,2018-01-17 00:15:00-06,0.002,0.0,0.287,0.001,-0.001,0.14,,0.008
1642,2018-01-17 00:30:00-06,0.001,0.0,0.177,0.0,-0.001,0.141,,0.008
1642,2018-01-17 00:45:00-06,0.002,0.0,0.227,0.0,-0.003,0.131,,0.008
1642,2018-01-17 01:00:00-06,0.001,0.0,0.109,0.0,-0.002,0.116,,0.008
1642,2018-01-17 01:15:00-06,0.001,0.0,0.145,0.0,-0.003,0.017,,0.008
1642,2018-01-17 01:30:00-06,0.002,0.0,0.24,0.0,-0.003,0.019,,0.008
1642,2018-01-17 01:45:00-06,0.002,0.0,0.344,0.001,-0.003,0.106,,0.008
1642,2018-01-17 02:00:00-06,0.001,0.0,0.18,0.0,-0.002,0.139,,0.008
1642,2018-01-17 02:15:00-06,0.001,0.0,0.124,0.0,-0.002,0.128,,0.008
1642,2018-01-17 02:30:00-06,0.001,0.0,0.184,0.0,-0.002,0.125,,0.008
1642,2018-01-17 02:45:00-06,0.001,0.0,0.24,0.0,-0.002,0.034,,0.008
1642,2018-01-17 03:00:00-06,0.001,0.0,0.239,0.0,-0.002,0.019,,0.008
1642,2018-01-17 03:15:00-06,0.001,0.0,0.169,0.0,-0.001,0.108,,0.008
1642,2018-01-17 03:30:00-06,0.001,0.0,0.113,0.0,-0.001,0.138,,0.008
1642,2018-01-17 03:45:00-06,0.001,0.0,0.204,0.0,-0.001,0.128,,0.008
1642,2018-01-17 04:00:00-06,0.002,0.0,0.239,0.0,-0.002,0.125,,0.008
1642,2018-01-17 04:15:00-06,0.002,0.0,0.345,0.001,-0.003,0.027,,0.008
1642,2018-01-17 04:30:00-06,0.001,0.0,0.106,0.0,-0.002,0.019,,0.008
1642,2018-01-17 04:45:00-06,0.001,0.0,0.183,0.0,-0.002,0.121,,0.008
1642,2018-01-17 05:00:00-06,0.002,0.0,0.248,0.001,-0.002,0.136,,0.008
1642,2018-01-17 05:15:00-06,0.002,0.0,0.267,0.001,-0.002,0.127,,0.008
1642,2018-01-17 05:30:00-06,0.002,0.0,0.248,0.001,-0.002,0.124,,0.008
1642,2018-01-17 05:45:00-06,0.001,0.0,0.179,0.0,-0.002,0.137,,0.008
1642,2018-01-17 06:00:00-06,0.002,0.0,0.154,0.0,-0.002,0.365,,0.008
1642,2018-01-17 06:15:00-06,0.001,0.0,0.164,0.0,-0.003,0.109,,0.008
1642,2018-01-17 06:30:00-06,0.002,0.0,0.337,0.0,-0.003,0.148,,0.009
1642,2018-01-17 06:45:00-06,0.002,0.001,0.255,0.0,-0.002,0.15,,0.008
1642,2018-01-17 07:00:00-06,0.002,0.001,0.176,0.0,0.0,0.147,,0.007
1642,2018-01-17 07:15:00-06,0.002,0.001,0.187,0.0,0.0,0.146,,0.007
1642,2018-01-17 07:30:00-06,0.002,0.001,0.009,0.0,0.0,0.146,,0.007
1642,2018-01-17 07:45:00-06,0.002,0.0,0.239,0.0,-0.002,0.147,,0.008
1642,2018-01-17 08:00:00-06,0.001,0.0,0.063,0.0,-0.001,0.146,,0.008
1642,2018-01-17 08:15:00-06,0.002,0.001,0.299,0.0,-0.002,0.145,,0.008
1642,2018-01-17 08:30:00-06,0.002,0.001,0.025,0.0,-0.001,0.146,,0.008
1642,2018-01-17 08:45:00-06,0.002,0.0,0.311,0.0,-0.003,0.147,,0.008
1642,2018-01-17 09:00:00-06,0.001,0.0,0.016,0.0,0.0,0.146,,0.008
1642,2018-01-17 09:15:00-06,0.002,0.0,0.323,0.0,-0.001,0.146,,0.008
1642,2018-01-17 09:30:00-06,0.001,0.0,0.009,0.0,0.0,0.133,,0.008
1642,2018-01-17 09:45:00-06,0.002,0.0,0.302,0.0,-0.001,0.129,,0.008
1642,2018-01-17 10:00:00-06,0.002,0.0,0.009,0.0,0.0,0.14,,0.009
1642,2018-01-17 10:15:00-06,0.003,0.0,0.303,0.0,-0.002,0.142,,0.009
1642,2018-01-17 10:30:00-06,0.002,0.001,0.052,0.0,0.0,0.136,,0.009
1642,2018-01-17 10:45:00-06,0.003,0.0,0.26,0.0,-0.001,0.126,,0.009
1642,2018-01-17 11:00:00-06,0.003,0.002,0.009,0.0,0.0,0.137,,0.008
1642,2018-01-17 11:15:00-06,0.003,0.0,0.322,0.0,-0.002,0.14,,0.009
1642,2018-01-17 11:30:00-06,0.003,0.001,0.009,0.0,-0.001,0.143,,0.009
1642,2018-01-17 11:45:00-06,0.003,0.0,0.37,0.0,-0.002,0.143,,0.009
1642,2018-01-17 12:00:00-06,0.003,0.0,0.009,0.0,0.0,0.143,,0.009
1642,2018-01-17 12:15:00-06,0.003,0.0,0.426,0.0,-0.002,0.138,,0.009
1642,2018-01-17 12:30:00-06,0.003,0.001,0.059,0.0,0.0,0.127,,0.009
1642,2018-01-17 12:45:00-06,0.003,0.001,0.196,0.0,0.0,0.057,,0.009
1642,2018-01-17 13:00:00-06,0.003,0.001,0.014,0.0,0.0,0.018,,0.009
1642,2018-01-17 13:15:00-06,0.003,0.0,0.281,0.0,-0.002,0.039,,0.009
1642,2018-01-17 13:30:00-06,0.003,0.0,0.009,0.0,0.0,0.143,,0.009
1642,2018-01-17 13:45:00-06,0.003,0.0,0.331,0.001,-0.002,0.143,,0.009
1642,2018-01-17 14:00:00-06,0.003,0.002,0.009,0.0,0.001,0.13,,0.009
1642,2018-01-17 14:15:00-06,0.003,0.001,0.347,0.001,-0.001,0.218,,0.009
1642,2018-01-17 14:30:00-06,0.004,0.004,0.09,0.0,-0.004,0.274,,0.009
1642,2018-01-17 14:45:00-06,0.003,0.001,0.253,0.001,0.0,0.146,,0.008
1642,2018-01-17 15:00:00-06,0.003,0.001,0.009,0.0,0.001,0.152,,0.008
1642,2018-01-17 15:15:00-06,0.003,0.004,0.359,0.0,0.0,0.148,,0.008
1642,2018-01-17 15:30:00-06,0.003,0.017,0.009,0.0,0.002,0.144,,0.008
1642,2018-01-17 15:45:00-06,0.003,0.059,0.305,0.001,-0.002,0.132,,0.008
1642,2018-01-17 16:00:00-06,0.003,0.29,0.014,0.0,-0.001,0.134,,0.008
1642,2018-01-17 16:15:00-06,0.003,0.294,0.294,0.001,-0.002,0.141,,0.008
1642,2018-01-17 16:30:00-06,0.002,0.171,0.024,0.0,0.0,0.142,,0.008
1642,2018-01-17 16:45:00-06,0.003,0.001,0.284,0.001,0.0,0.139,,0.008
1642,2018-01-17 17:00:00-06,0.002,0.001,0.034,0.0,0.002,0.127,,0.008
1642,2018-01-17 17:15:00-06,0.002,0.0,0.274,0.001,0.001,0.1,,0.008
1642,2018-01-17 17:30:00-06,0.002,0.0,0.406,0.001,-0.001,0.017,,0.008
1642,2018-01-17 17:45:00-06,0.002,0.0,0.273,0.001,0.0,0.019,,0.008
2335,2018-01-16 18:00:00-06,0.001,0.0,0.004,0.0,0.002,0.107,,0.007
2335,2018-01-16 18:15:00-06,0.004,-0.003,0.728,0.0,0.002,0.148,,0.004
2335,2018-01-16 18:30:00-06,0.002,-0.001,0.11,0.0,0.002,0.181,,0.006
2335,2018-01-16 18:45:00-06,0.002,-0.001,0.226,-0.001,0.002,0.145,,0.007
2335,2018-01-16 19:00:00-06,0.003,-0.003,0.918,-0.001,0.002,0.125,,0.005
2335,2018-01-16 19:15:00-06,0.003,-0.002,0.764,0.0,0.002,0.121,,0.005
2335,2018-01-16 19:30:00-06,0.001,0.0,0.004,0.0,0.002,0.148,,0.008
2335,2018-01-16 19:45:00-06,0.001,0.0,0.004,0.0,0.002,0.143,,0.008
