dataid,local_15min,air1,clotheswasher1,furnace1,dishwasher1,refrigerator1,range1,oven1
3488,2019-06-13 00:00:00-05,0.0,0.0,0.758,,0.005,,
1222,2019-06-13 00:45:00-05,,,,,,-0.001,
1222,2019-06-13 00:30:00-05,,,,,,-0.001,
1222,2019-06-13 00:15:00-05,,,,,,-0.001,
1222,2019-06-13 00:00:00-05,,,,,,-0.001,
5982,2019-06-13 00:45:00-05,,0.001,,0.0,0.125,,
5982,2019-06-13 00:30:00-05,,0.001,,0.0,0.128,,
5982,2019-06-13 00:15:00-05,,0.001,,0.0,0.052,,
5982,2019-06-13 00:00:00-05,,0.001,,0.0,0.01,,
3996,2019-06-13 00:45:00-05,,0.0,0.005,0.0,0.07,,
3996,2019-06-13 00:30:00-05,,0.0,0.005,0.0,0.05,,
3996,2019-06-13 00:15:00-05,,0.0,0.006,0.0,0.024,,
3996,2019-06-13 00:00:00-05,,0.0,0.006,0.0,0.08,,
914,2019-06-13 00:45:00-05,,0.002,,,,0.0,0.003
914,2019-06-13 00:30:00-05,,0.002,,,,0.0,0.003
914,2019-06-13 00:15:00-05,,0.002,,,,0.0,0.003
914,2019-06-13 00:00:00-05,,0.002,,,,0.0,0.003
27,2019-06-13 00:45:00-05,0.056,,,,,,
27,2019-06-13 00:30:00-05,0.019,,,,,,
27,2019-06-13 00:15:00-05,0.003,,,,,,
27,2019-06-13 00:00:00-05,0.04,,,,,,
1417,2019-06-13 00:45:00-05,0.0,0.0,0.009,0.001,0.109,,
1417,2019-06-13 00:30:00-05,0.0,0.0,0.009,0.0,0.029,,
1417,2019-06-13 00:15:00-05,0.0,0.0,0.009,0.0,0.001,,
1417,2019-06-13 00:00:00-05,0.0,0.0,0.009,0.0,0.063,,
5058,2019-06-13 00:45:00-05,0.008,,,,0.001,0.0,0.0
5058,2019-06-13 00:30:00-05,0.008,,,,0.001,0.0,0.0
5058,2019-06-13 00:15:00-05,0.008,,,,0.001,0.0,0.0
5058,2019-06-13 00:00:00-05,0.008,,,,0.067,0.0,0.0
9053,2019-06-13 00:45:00-05,,0.0,,0.0,0.003,0.003,
9053,2019-06-13 00:30:00-05,,0.0,,0.0,0.003,0.003,
9053,2019-06-13 00:15:00-05,,0.0,,0.0,0.003,0.003,
9053,2019-06-13 00:00:00-05,,0.0,,0.0,0.004,0.002,
2096,2019-06-13 00:45:00-05,,,0.005,0.002,,,
2096,2019-06-13 00:30:00-05,,,0.005,0.002,,,
2096,2019-06-13 00:15:00-05,,,0.005,0.002,,,
2096,2019-06-13 00:00:00-05,,,0.005,0.002,,,
5679,2019-06-13 00:45:00-05,0.007,,0.015,,,,
5679,2019-06-13 00:30:00-05,0.007,,0.015,,,,
5679,2019-06-13 00:15:00-05,0.007,,0.015,,,,
5679,2019-06-13 00:00:00-05,0.007,,0.015,,,,
1240,2019-06-13 00:45:00-05,0.0,0.0,0.0,0.005,0.005,0.005,
1240,2019-06-13 00:30:00-05,0.0,0.0,0.0,0.005,0.003,0.005,
1240,2019-06-13 00:15:00-05,0.0,0.0,0.0,0.005,0.016,0.005,
1240,2019-06-13 00:00:00-05,0.0,0.0,0.0,0.005,0.092,0.005,
5997,2019-06-13 00:45:00-05,,0.0,,0.0,,,
5997,2019-06-13 00:30:00-05,,0.0,,0.0,,,
5997,2019-06-13 00:15:00-05,,0.0,,0.0,,,
5997,2019-06-13 00:00:00-05,,0.0,,0.0,,,
4283,2019-06-13 00:45:00-05,,0.0,,0.001,,,
4283,2019-06-13 00:30:00-05,,0.0,,0.001,,,
4283,2019-06-13 00:15:00-05,,0.0,,0.001,,,
4283,2019-06-13 00:00:00-05,,0.0,,0.001,,,
558,2019-06-13 00:45:00-05,0.082,0.001,0.005,,,0.018,
558,2019-06-13 00:30:00-05,0.083,0.001,0.005,,,0.018,
558,2019-06-13 00:15:00-05,0.083,0.001,0.006,,,0.018,
558,2019-06-13 00:00:00-05,0.083,0.001,0.006,,,0.018,
4550,2019-06-13 00:45:00-05,,,0.02,0.0,,,
4550,2019-06-13 00:30:00-05,,,0.02,0.0,,,
4550,2019-06-13 00:15:00-05,,,0.02,0.0,,,
4550,2019-06-13 00:00:00-05,,,0.02,0.0,,,
2318,2019-06-13 00:45:00-05,,0.0,0.009,,,-0.001,
2318,2019-06-13 00:30:00-05,,0.0,0.024,,,-0.001,
2318,2019-06-13 00:15:00-05,,0.0,0.03,,,-0.001,
2318,2019-06-13 00:00:00-05,,0.0,0.009,,,-0.001,
142,2019-06-13 00:45:00-05,,,,0.0,0.102,,0.0
142,2019-06-13 00:30:00-05,,,,0.0,0.046,,0.0
142,2019-06-13 00:15:00-05,,,,0.0,0.0,,0.0
142,2019-06-13 00:00:00-05,,,,0.0,0.0,,0.0
387,2019-06-13 00:45:00-05,,0.0,,,0.002,,0.003
387,2019-06-13 00:30:00-05,,0.0,,,0.002,,0.003
387,2019-06-13 00:15:00-05,,0.0,,,0.002,,0.003
387,2019-06-13 00:00:00-05,,0.0,,,0.095,,0.003
3517,2019-06-13 00:45:00-05,0.0,,0.006,,,,
3517,2019-06-13 00:30:00-05,0.0,,0.006,,,,
3517,2019-06-13 00:15:00-05,0.0,,0.006,,,,
3517,2019-06-13 00:00:00-05,0.0,,0.006,,,,
3000,2019-06-13 00:00:00-05,0.006,0.001,,0.0,,,
950,2019-06-13 00:45:00-05,0.0,0.001,0.088,,0.003,0.002,0.003
950,2019-06-13 00:30:00-05,0.0,0.001,0.089,,0.003,0.002,0.004
950,2019-06-13 00:15:00-05,0.0,0.001,0.088,,0.041,0.002,0.003
950,2019-06-13 00:00:00-05,0.0,0.001,0.088,,0.126,0.002,0.003
9053,2019-06-13 01:45:00-05,,0.0,,0.0,0.117,0.003,
9053,2019-06-13 01:30:00-05,,0.0,,0.0,0.118,0.003,
9053,2019-06-13 01:15:00-05,,0.0,,0.0,0.032,0.003,
9053,2019-06-13 01:00:00-05,,0.0,,0.0,0.003,0.003,
2318,2019-06-13 01:45:00-05,,0.0,0.009,,,-0.001,
2318,2019-06-13 01:30:00-05,,0.0,0.021,,,-0.001,
2318,2019-06-13 01:15:00-05,,0.0,0.031,,,-0.001,
2318,2019-06-13 01:00:00-05,,0.0,0.009,,,-0.001,
1222,2019-06-13 01:45:00-05,,,,,,-0.001,
1222,2019-06-13 01:30:00-05,,,,,,-0.001,
1222,2019-06-13 01:15:00-05,,,,,,-0.001,
1222,2019-06-13 01:00:00-05,,,,,,-0.001,
27,2019-06-13 01:45:00-05,0.056,,,,,,
27,2019-06-13 01:30:00-05,0.019,,,,,,
27,2019-06-13 01:15:00-05,0.003,,,,,,
3000,2019-06-13 01:45:00-05,0.006,0.001,,0.0,,,
3000,2019-06-13 01:30:00-05,0.006,0.001,,0.0,,,
3000,2019-06-13 01:15:00-05,0.006,0.001,,0.0,,,
5058,2019-06-13 01:45:00-05,0.008,,,,0.001,0.0,0.0
5058,2019-06-13 01:30:00-05,0.008,,,,0.082,0.0,0.0
5058,2019-06-13 01:15:00-05,0.008,,,,0.071,-0.001,0.0
5058,2019-06-13 01:00:00-05,0.008,,,,0.004,-0.002,0.0
3517,2019-06-13 01:45:00-05,0.0,,0.006,,,,
3517,2019-06-13 01:30:00-05,0.0,,0.006,,,,
3517,2019-06-13 01:15:00-05,0.0,,0.006,,,,
3517,2019-06-13 01:00:00-05,0.0,,0.006,,,,
558,2019-06-13 01:45:00-05,0.083,0.001,0.006,,,0.018,
558,2019-06-13 01:30:00-05,0.083,0.001,0.006,,,0.018,
914,2019-06-13 01:45:00-05,,0.002,,,,0.0,0.003
914,2019-06-13 01:30:00-05,,0.002,,,,0.0,0.003
914,2019-06-13 01:15:00-05,,0.002,,,,0.0,0.003
914,2019-06-13 01:00:00-05,,0.002,,,,0.0,0.003
558,2019-06-13 01:15:00-05,0.083,0.001,0.006,,,0.018,
558,2019-06-13 01:00:00-05,0.082,0.001,0.006,,,0.018,
3996,2019-06-13 01:45:00-05,,0.0,0.006,0.0,0.002,,
3996,2019-06-13 01:30:00-05,,0.0,0.006,0.0,0.071,,
3996,2019-06-13 01:15:00-05,,0.0,0.006,0.0,0.064,,
3996,2019-06-13 01:00:00-05,,0.0,0.005,0.0,0.002,,
2358,2019-06-13 01:45:00-05,,0.001,,,0.033,0.003,
2358,2019-06-13 01:30:00-05,,0.001,,,0.0,0.003,
2358,2019-06-13 01:15:00-05,,0.001,,,0.0,0.003,
2358,2019-06-13 01:00:00-05,,0.001,,,0.089,0.003,
3700,2019-06-13 01:45:00-05,,,,,0.042,,0.006
3700,2019-06-13 01:30:00-05,,,,,0.043,,0.006
3700,2019-06-13 01:15:00-05,,,,,0.043,,0.006
3700,2019-06-13 01:00:00-05,,,,,0.043,,0.006
5587,2019-06-13 01:45:00-05,0.044,0.0,0.124,0.0,,0.002,
5587,2019-06-13 01:30:00-05,0.044,0.0,0.249,0.0,,0.002,
5587,2019-06-13 01:15:00-05,0.044,0.0,0.186,0.0,,0.002,
5587,2019-06-13 01:00:00-05,0.044,0.0,0.242,0.0,,0.002,
4550,2019-06-13 01:45:00-05,,,0.021,0.0,,,
4550,2019-06-13 01:30:00-05,,,0.021,0.0,,,
4550,2019-06-13 01:15:00-05,,,0.02,0.0,,,
4550,2019-06-13 01:00:00-05,,,0.02,0.0,,,
387,2019-06-13 01:45:00-05,,0.0,,,0.002,,0.003
387,2019-06-13 01:30:00-05,,0.0,,,0.06,,0.003
387,2019-06-13 01:15:00-05,,0.0,,,0.116,,0.003
387,2019-06-13 01:00:00-05,,0.0,,,0.093,,0.003
3000,2019-06-13 01:00:00-05,0.006,0.001,,0.0,,,
5679,2019-06-13 01:45:00-05,0.007,,0.016,,,,
5679,2019-06-13 01:30:00-05,0.007,,0.015,,,,
5679,2019-06-13 01:15:00-05,0.007,,0.015,,,,
5679,2019-06-13 01:00:00-05,0.007,,0.015,,,,
1417,2019-06-13 01:45:00-05,0.0,0.0,0.009,0.0,0.019,,
1417,2019-06-13 01:30:00-05,0.0,0.0,0.009,0.001,0.11,,
1417,2019-06-13 01:15:00-05,0.0,0.0,0.009,0.001,0.188,,
1417,2019-06-13 01:00:00-05,0.0,0.0,0.009,0.001,0.276,,
5982,2019-06-13 01:45:00-05,,0.001,,0.0,0.039,,
5982,2019-06-13 01:30:00-05,,0.001,,0.0,0.01,,
5982,2019-06-13 01:15:00-05,,0.001,,0.0,0.021,,
5982,2019-06-13 01:00:00-05,,0.001,,0.0,0.108,,
5997,2019-06-13 01:45:00-05,,0.0,,0.0,,,
5997,2019-06-13 01:30:00-05,,0.0,,0.0,,,
5997,2019-06-13 01:15:00-05,,0.0,,0.0,,,
5997,2019-06-13 01:00:00-05,,0.0,,0.0,,,
3488,2019-06-13 01:45:00-05,0.0,0.0,0.762,,0.012,,
3488,2019-06-13 01:30:00-05,0.0,0.0,0.76,,0.081,,
3488,2019-06-13 01:15:00-05,0.0,0.0,0.755,,0.049,,
3488,2019-06-13 01:00:00-05,0.0,0.0,0.754,,0.005,,
4283,2019-06-13 01:45:00-05,,0.0,,0.001,,,
4283,2019-06-13 01:30:00-05,,0.0,,0.001,,,
4283,2019-06-13 01:15:00-05,,0.0,,0.001,,,
4283,2019-06-13 01:00:00-05,,0.0,,0.001,,,
142,2019-06-13 01:45:00-05,,,,0.0,0.108,,0.0
142,2019-06-13 01:30:00-05,,,,0.0,0.001,,0.0
142,2019-06-13 01:15:00-05,,,,0.0,0.0,,0.0
142,2019-06-13 01:00:00-05,,,,0.0,0.0,,0.0
1240,2019-06-13 01:45:00-05,0.0,0.0,0.0,0.004,0.003,0.005,
1240,2019-06-13 01:30:00-05,0.0,0.0,0.0,0.005,0.003,0.005,
