dataid,local_15min,air1,clotheswasher1,furnace1,dishwasher1,drye1,refrigerator1,range1,oven1
558,2019-06-12 19:00:00-05,0.082,0.001,0.005,,0.001,,0.005,
4550,2019-06-12 19:45:00-05,,,0.019,0.0,0.058,,,
4550,2019-06-12 19:30:00-05,,,0.02,0.0,0.122,,,
4550,2019-06-12 19:15:00-05,,,0.02,0.0,0.1,,,
4550,2019-06-12 19:00:00-05,,,0.02,0.0,0.102,,,
914,2019-06-12 19:30:00-05,,0.002,,,0.001,,0.0,0.003
914,2019-06-12 19:15:00-05,,0.002,,,-0.001,,0.0,0.003
914,2019-06-12 19:00:00-05,,0.002,,,-0.002,,0.0,0.003
3000,2019-06-12 19:45:00-05,0.006,0.001,,0.0,0.0,,,
3000,2019-06-12 19:30:00-05,0.006,0.001,,0.0,0.0,,,
3000,2019-06-12 19:15:00-05,0.006,0.001,,0.0,0.0,,,
3000,2019-06-12 19:00:00-05,0.006,0.001,,0.0,0.0,,,
3488,2019-06-12 19:45:00-05,0.0,0.0,0.742,,0.016,0.084,,
3488,2019-06-12 19:30:00-05,0.0,0.0,0.75,,0.016,0.087,,
3488,2019-06-12 19:15:00-05,0.0,0.0,0.746,,0.016,0.084,,
3488,2019-06-12 19:00:00-05,0.0,0.0,0.757,,0.016,0.011,,
3517,2019-06-12 19:45:00-05,0.0,,0.005,,,,,
3517,2019-06-12 19:30:00-05,0.0,,0.006,,,,,
3517,2019-06-12 19:15:00-05,0.0,,0.006,,,,,
3517,2019-06-12 19:00:00-05,0.0,,0.006,,,,,
387,2019-06-12 19:45:00-05,,0.0,,,,0.093,,0.003
387,2019-06-12 19:30:00-05,,0.0,,,,0.002,,0.003
387,2019-06-12 19:15:00-05,,0.0,,,,0.002,,0.003
387,2019-06-12 19:00:00-05,,0.0,,,,0.002,,0.003
3700,2019-06-12 19:45:00-05,,,,,,0.049,,0.006
3700,2019-06-12 19:30:00-05,,,,,,0.046,,0.006
3700,2019-06-12 19:15:00-05,,,,,,0.098,,0.006
3700,2019-06-12 19:00:00-05,,,,,,0.13,,0.006
142,2019-06-12 19:45:00-05,,,,0.0,,0.067,,0.0
142,2019-06-12 19:30:00-05,,,,0.0,,0.111,,0.0
142,2019-06-12 19:15:00-05,,,,0.0,,0.004,,0.0
142,2019-06-12 19:00:00-05,,,,0.0,,0.08,,0.0
1222,2019-06-12 19:45:00-05,,,,,0.0,,-0.001,
1222,2019-06-12 19:30:00-05,,,,,0.0,,-0.001,
1222,2019-06-12 19:15:00-05,,,,,0.0,,-0.001,
1222,2019-06-12 19:00:00-05,,,,,0.0,,-0.001,
2358,2019-06-12 19:45:00-05,,0.001,,,0.001,0.0,0.003,
2358,2019-06-12 19:30:00-05,,0.001,,,0.001,0.071,0.003,
2358,2019-06-12 19:15:00-05,,0.001,,,0.001,0.113,0.003,
2358,2019-06-12 19:00:00-05,,0.001,,,0.001,0.0,0.003,
2318,2019-06-12 19:45:00-05,,0.0,0.009,,0.0,,-0.003,
2318,2019-06-12 19:30:00-05,,0.0,0.009,,0.0,,0.0,
2318,2019-06-12 19:15:00-05,,0.0,0.045,,0.0,,0.891,
2318,2019-06-12 19:00:00-05,,0.0,0.009,,0.0,,0.972,
27,2019-06-12 19:45:00-05,0.057,,,,,,,
27,2019-06-12 19:30:00-05,0.014,,,,,,,
27,2019-06-12 19:15:00-05,0.003,,,,,,,
4283,2019-06-12 19:45:00-05,,0.31,,0.008,5.188,,,
4283,2019-06-12 19:30:00-05,,0.0,,0.001,0.005,,,
4283,2019-06-12 19:15:00-05,,0.0,,0.001,0.001,,,
4283,2019-06-12 19:00:00-05,,0.0,,0.001,0.001,,,
2096,2019-06-12 19:45:00-05,,,0.005,0.002,,,,
2096,2019-06-12 19:30:00-05,,,0.004,0.002,,,,
2096,2019-06-12 19:15:00-05,,,0.005,0.002,,,,
2096,2019-06-12 19:00:00-05,,,0.005,0.002,,,,
1240,2019-06-12 19:45:00-05,0.001,0.0,0.001,0.423,0.0,0.114,0.006,
1240,2019-06-12 19:30:00-05,0.0,0.0,0.0,0.029,0.0,0.116,0.006,
1240,2019-06-12 19:15:00-05,-0.001,0.0,0.0,0.018,0.0,0.133,0.005,
1240,2019-06-12 19:00:00-05,-0.002,0.0,0.0,0.002,0.0,0.341,0.004,
1417,2019-06-12 19:45:00-05,0.0,0.0,0.108,0.0,0.0,0.033,,
1417,2019-06-12 19:30:00-05,0.0,0.0,0.108,0.0,0.0,0.038,,
1417,2019-06-12 19:15:00-05,-0.001,0.0,0.108,0.0,0.0,0.001,,
1417,2019-06-12 19:00:00-05,0.0,0.0,0.108,0.0,0.0,0.04,,
27,2019-06-12 19:00:00-05,0.045,,,,,,,
5679,2019-06-12 19:45:00-05,0.005,,0.017,,,,,
5679,2019-06-12 19:30:00-05,0.0,,0.009,,,,,
5679,2019-06-12 19:15:00-05,0.0,,0.009,,,,,
5679,2019-06-12 19:00:00-05,0.0,,0.014,,,,,
5058,2019-06-12 19:45:00-05,0.008,,,,,0.004,-0.002,0.0
5058,2019-06-12 19:30:00-05,0.008,,,,,0.034,-0.002,0.0
5058,2019-06-12 19:15:00-05,0.008,,,,,0.104,-0.002,0.0
5058,2019-06-12 19:00:00-05,0.008,,,,,0.045,0.0,0.001
950,2019-06-12 19:45:00-05,0.0,0.001,0.087,,0.001,0.142,0.002,0.004
950,2019-06-12 19:30:00-05,0.0,0.001,0.087,,0.001,0.021,0.002,0.004
950,2019-06-12 19:15:00-05,0.0,0.001,0.087,,0.001,0.003,0.002,0.004
950,2019-06-12 19:00:00-05,0.0,0.001,0.088,,0.001,0.003,0.002,0.003
5587,2019-06-12 19:45:00-05,0.0,0.0,0.281,0.0,0.0,,0.416,
5587,2019-06-12 19:30:00-05,0.0,0.0,0.178,0.0,0.0,,0.002,
5587,2019-06-12 19:15:00-05,0.0,0.0,0.275,0.0,0.0,,0.002,
5587,2019-06-12 19:00:00-05,0.0,0.0,0.172,0.0,0.0,,0.002,
3996,2019-06-12 20:45:00-05,,0.0,0.006,0.324,0.0,0.12,,
3996,2019-06-12 20:30:00-05,,0.001,0.007,0.886,0.0,0.052,,
3996,2019-06-12 20:15:00-05,,0.001,0.006,0.135,0.0,0.064,,
3996,2019-06-12 20:00:00-05,,0.0,0.007,0.788,0.0,0.112,,
914,2019-06-12 20:45:00-05,,0.002,,,0.001,,0.0,0.003
914,2019-06-12 20:30:00-05,,0.002,,,0.001,,0.0,0.004
914,2019-06-12 20:15:00-05,,0.002,,,0.001,,0.0,0.003
914,2019-06-12 20:00:00-05,,0.002,,,0.001,,0.0,0.003
5982,2019-06-12 20:45:00-05,,0.001,,0.0,0.0,0.106,,
5982,2019-06-12 20:30:00-05,,0.001,,0.0,0.0,0.121,,
5982,2019-06-12 20:15:00-05,,0.001,,0.0,0.0,0.121,,
5982,2019-06-12 20:00:00-05,,0.001,,0.0,0.0,0.075,,
2358,2019-06-12 20:45:00-05,,0.001,,,0.001,0.014,0.003,
2358,2019-06-12 20:30:00-05,,0.001,,,0.001,0.0,0.003,
2358,2019-06-12 20:15:00-05,,0.001,,,0.001,0.045,0.003,
2358,2019-06-12 20:00:00-05,,0.001,,,0.001,0.12,0.003,
3517,2019-06-12 20:45:00-05,0.0,,0.007,,,,,
3517,2019-06-12 20:30:00-05,0.0,,0.007,,,,,
3517,2019-06-12 20:15:00-05,0.0,,0.005,,,,,
3517,2019-06-12 20:00:00-05,0.0,,0.005,,,,,
142,2019-06-12 20:45:00-05,,,,0.0,,0.072,,0.0
142,2019-06-12 20:30:00-05,,,,0.0,,0.082,,0.0
142,2019-06-12 20:15:00-05,,,,0.0,,0.0,,0.0
142,2019-06-12 20:00:00-05,,,,0.0,,0.0,,0.0
3000,2019-06-12 20:45:00-05,0.006,0.001,,0.0,0.0,,,
3000,2019-06-12 20:30:00-05,0.006,0.001,,0.0,0.0,,,
3000,2019-06-12 20:15:00-05,0.006,0.001,,0.0,0.0,,,
27,2019-06-12 20:45:00-05,0.056,,,,,,,
27,2019-06-12 20:30:00-05,0.015,,,,,,,
27,2019-06-12 20:15:00-05,0.003,,,,,,,
9053,2019-06-12 20:45:00-05,,0.0,,0.327,0.001,0.112,0.022,
9053,2019-06-12 20:30:00-05,,0.0,,0.17,0.001,0.115,0.022,
9053,2019-06-12 20:15:00-05,,0.0,,0.185,0.001,0.115,0.022,
9053,2019-06-12 20:00:00-05,,0.0,,0.489,0.001,0.128,0.028,
5997,2019-06-12 20:45:00-05,,0.0,,0.0,0.0,,,
5997,2019-06-12 20:30:00-05,,0.0,,0.0,0.0,,,
5997,2019-06-12 20:15:00-05,,0.0,,0.0,0.0,,,
5997,2019-06-12 20:00:00-05,,0.0,,0.0,0.0,,,
1417,2019-06-12 20:45:00-05,0.0,0.0,0.106,0.0,0.0,0.001,,
1417,2019-06-12 20:30:00-05,0.0,0.0,0.108,0.0,0.0,0.071,,
1417,2019-06-12 20:15:00-05,-0.001,0.0,0.108,0.0,0.0,0.062,,
1417,2019-06-12 20:00:00-05,0.0,0.0,0.108,0.0,0.0,0.002,,
5058,2019-06-12 20:45:00-05,0.008,,,,,0.1,0.0,0.0
5058,2019-06-12 20:30:00-05,0.008,,,,,0.057,0.0,0.0
5058,2019-06-12 20:15:00-05,0.008,,,,,0.001,0.0,0.0
5058,2019-06-12 20:00:00-05,0.008,,,,,0.004,-0.002,0.0
1240,2019-06-12 20:45:00-05,0.0,0.0,0.001,0.072,0.0,0.003,0.005,
1240,2019-06-12 20:30:00-05,0.0,0.0,0.0,0.059,0.0,0.032,0.006,
1240,2019-06-12 20:15:00-05,0.0,0.0,0.0,0.075,0.0,0.117,0.006,
1240,2019-06-12 20:00:00-05,0.0,0.0,0.0,0.075,0.0,0.118,0.006,
558,2019-06-12 20:45:00-05,0.083,0.001,0.006,,0.001,,0.017,
558,2019-06-12 20:30:00-05,0.083,0.001,0.005,,0.001,,1.118,
558,2019-06-12 20:15:00-05,0.082,0.001,0.005,,0.001,,1.657,
558,2019-06-12 20:00:00-05,0.082,0.001,0.005,,0.001,,1.779,
4283,2019-06-12 20:45:00-05,,0.0,,0.182,-0.001,,,
4283,2019-06-12 20:30:00-05,,-0.001,,0.862,0.078,,,
4283,2019-06-12 20:15:00-05,,0.055,,0.265,2.668,,,
4283,2019-06-12 20:00:00-05,,0.303,,0.036,4.81,,,
5679,2019-06-12 20:45:00-05,0.007,,0.015,,,,,
5679,2019-06-12 20:30:00-05,0.007,,0.015,,,,,
5679,2019-06-12 20:15:00-05,0.007,,0.015,,,,,
5679,2019-06-12 20:00:00-05,0.007,,0.02,,,,,
2318,2019-06-12 20:45:00-05,,0.0,0.042,,0.0,,-0.001,
2318,2019-06-12 20:30:00-05,,0.0,0.012,,0.0,,-0.001,
2318,2019-06-12 20:15:00-05,,0.0,0.009,,0.0,,-0.001,
2318,2019-06-12 20:00:00-05,,0.0,0.009,,0.0,,-0.001,
3000,2019-06-12 20:00:00-05,0.006,0.001,,0.0,0.0,,,
5587,2019-06-12 20:45:00-05,0.0,0.0,0.265,0.0,0.0,,0.002,
5587,2019-06-12 20:30:00-05,0.0,0.0,0.19,0.0,-0.001,,0.002,
5587,2019-06-12 20:15:00-05,0.0,0.0,0.276,0.0,0.0,,0.002,
5587,2019-06-12 20:00:00-05,0.0,0.0,0.183,0.0,0.0,,0.256,
950,2019-06-12 20:45:00-05,0.0,0.001,0.088,,0.001,0.003,0.002,0.003
950,2019-06-12 20:30:00-05,0.0,0.001,0.089,,0.001,0.034,0.002,0.004
950,2019-06-12 20:15:00-05,0.0,0.001,0.089,,0.001,0.124,0.002,0.004
950,2019-06-12 20:00:00-05,0.0,0.001,0.089,,0.001,0.137,0.002,0.004
4550,2019-06-12 20:45:00-05,,,0.02,0.0,0.0,,,
4550,2019-06-12 20:30:00-05,,,0.02,0.0,0.0,,,
4550,2019-06-12 20:15:00-05,,,0.02,0.0,0.0,,,
4550,2019-06-12 20:00:00-05,,,0.02,0.0,0.0,,,
3488,2019-06-12 20:45:00-05,0.0,0.0,0.725,,5.29,0.054,,
3488,2019-06-12 20:30:00-05,0.0,0.0,0.725,,5.656,0.078,,
3488,2019-06-12 20:15:00-05,0.0,0.0,0.746,,0.849,0.085,,
3488,2019-06-12 20:00:00-05,0.0,0.0,0.744,,0.016,0.087,,
3700,2019-06-12 20:45:00-05,,,,,,0.052,,0.006
3700,2019-06-12 20:30:00-05,,,,,,0.051,,0.006
3700,2019-06-12 20:15:00-05,,,,,,0.048,,0.006
3700,2019-06-12 20:00:00-05,,,,,,0.049,,0.006
387,2019-06-12 20:45:00-05,,0.0,,,,0.002,,0.003
387,2019-06-12 20:30:00-05,,0.0,,,,0.016,,0.003
387,2019-06-12 20:15:00-05,,0.0,,,,0.114,,0.003
387,2019-06-12 20:00:00-05,,0.0,,,,0.118,,0.003
27,2019-06-12 20:00:00-05,0.044,,,,,,,
1222,2019-06-12 20:45:00-05,,,,,0.0,,0.742,
1222,2019-06-12 20:30:00-05,,,,,0.0,,-0.001,
